num	id	mass	px	py	pz	vx	vy	vz	phi	metals	tform	eps
96	33554527	6.53262E-10	-0.286918	0.171864	-0.187964	-0.0554783	0.586635	-0.502406	-0.0179538	0.0	0.0134699	4.0E-5
97	33554528	6.53262E-10	-0.30515	0.218392	-0.25493	1.42474	1.36236	0.282113	-0.0195489	0.0	0.0134699	4.0E-5
98	33554529	6.53262E-10	-0.204995	0.164362	-0.246689	0.0290624	0.912113	0.349601	-0.0135418	0.0	0.0134699	4.0E-5
99	33554530	6.53262E-10	-0.295679	0.45065	-0.076622	0.0192924	-0.0789374	0.0289943	-0.0124351	0.0	0.0134699	4.0E-5
100	33554531	6.53262E-10	0.175647	0.342926	0.425715	-0.198213	-0.118406	0.608631	-0.0248808	0.0	0.0134699	4.0E-5
101	33554532	6.53262E-10	0.177207	0.341976	0.427583	0.679881	-0.0421853	-0.415278	-0.0268919	0.0	0.0134699	4.0E-5
102	33554533	6.53262E-10	-0.225855	0.482394	-0.0231984	-0.929356	-0.722481	-0.124057	-0.00954005	0.0	0.0134699	4.0E-5
103	33554534	6.53262E-10	-0.1027	0.245634	0.339939	0.619775	0.973424	0.151785	-0.0145712	0.0	0.0134699	4.0E-5
104	33554535	6.53167E-10	-0.446772	0.193171	0.0277013	-0.0226317	0.615176	0.407142	-0.0129222	0.0	0.0134915	4.0E-5
105	33554536	6.53167E-10	-0.316173	-0.0481406	-0.469281	-0.679901	-0.318336	0.0903184	-0.00396813	0.0	0.0134915	4.0E-5
106	33554537	6.53167E-10	0.10102	-0.0420472	0.056016	0.139321	-0.472832	0.51155	-3.12872E-4	0.0	0.0134915	4.0E-5
107	33554538	6.53167E-10	0.244332	0.0947707	-0.191646	0.837173	1.09909	-0.486895	-0.00471025	0.0	0.0134915	4.0E-5
108	33554539	6.53167E-10	0.409445	0.140086	0.131829	0.110905	0.509173	0.391242	-0.0119462	0.0	0.0134915	4.0E-5
109	33554540	6.53167E-10	-0.21115	0.126305	0.160774	-0.465454	0.433984	-0.0724765	-0.00628367	0.0	0.0134915	4.0E-5
110	33554541	6.53167E-10	0.300514	0.0241398	0.150183	0.319636	0.174606	-0.111726	-0.00795224	0.0	0.0134915	4.0E-5
111	33554542	6.53167E-10	0.347352	-0.0735735	0.236763	0.572444	-0.486787	-1.22802	-0.0073771	0.0	0.0134915	4.0E-5
112	33554543	6.53167E-10	0.34175	0.204735	-0.0238365	-0.0532625	0.816118	0.729612	-0.0120369	0.0	0.0134915	4.0E-5
113	33554544	6.53167E-10	-0.122738	0.252418	0.383733	0.650555	0.307641	0.617711	-0.0150702	0.0	0.0134915	4.0E-5
114	33554545	6.53167E-10	-0.282734	0.16056	-0.204649	0.0605723	0.981412	0.52667	-0.0174349	0.0	0.0134915	4.0E-5
115	33554546	6.53167E-10	-0.325815	0.207835	-0.242321	0.567711	0.0570022	1.00204	-0.0193133	5.47127E-6	0.0134915	4.0E-5
116	33554547	6.53167E-10	-0.34251	0.490729	-0.0930165	0.487251	-0.881281	-0.0179407	-0.00898196	0.0	0.0134915	4.0E-5
117	33554548	6.53167E-10	0.493088	0.467191	-0.436582	0.63153	0.0710593	0.550319	-0.0113587	0.0	0.0134915	4.0E-5
118	33554549	6.53167E-10	-0.460851	0.224068	0.139109	-0.476089	-0.628129	0.170632	-0.0123523	0.0	0.0134915	4.0E-5
119	33554550	6.53167E-10	0.140984	0.370488	0.093368	0.330594	0.381106	1.20723	-0.0125845	0.0	0.0134915	4.0E-5
120	33554551	6.53167E-10	0.18829	0.427713	0.212677	-3.62093E-4	-0.554818	-0.0972428	-0.0147765	0.0	0.0134915	4.0E-5
121	33554552	6.53167E-10	0.180576	0.481538	0.02656	0.588641	-0.62476	0.918383	-0.00401115	0.0	0.0134915	4.0E-5
122	33554553	6.53167E-10	-0.0042557	-0.296813	-0.00971595	-0.314041	-0.0693115	0.429134	0.00534526	0.0	0.0134915	4.0E-5
123	33554554	6.53167E-10	-0.313766	0.293273	-0.179093	-0.0155416	-0.0406304	-0.134168	-0.0158505	0.0	0.0134915	4.0E-5
124	33554555	6.53167E-10	-0.189565	0.330313	0.229319	0.04096	-0.5575	0.44373	-0.0111336	0.0	0.0134915	4.0E-5
125	33554556	6.53167E-10	-0.0790209	0.227948	-0.00638393	-0.418445	0.0135898	0.446227	-0.00762549	0.0	0.0134915	4.0E-5
126	33554557	6.54943E-10	-0.441935	-0.484322	-0.366716	-0.661048	-0.928103	-0.0577234	-0.0163715	0.0	0.013513	4.0E-5
127	33554558	6.54943E-10	-0.440904	-0.296299	-0.453316	-0.327181	0.0163553	0.543213	-0.00624269	0.0	0.013513	4.0E-5
128	33554559	6.54943E-10	-0.365469	0.116931	-0.23944	0.678856	1.10272	0.832906	-0.0107476	0.0	0.013513	4.0E-5
129	33554560	6.54943E-10	-0.315687	-0.0447297	-0.472315	-0.720863	-0.463463	0.903968	-0.00251722	0.0	0.013513	4.0E-5
130	33554561	6.54943E-10	-0.315189	-0.0501232	-0.463928	-0.742023	-0.820472	-0.402561	-0.00293576	0.0	0.013513	4.0E-5
131	33554562	6.54943E-10	-0.422223	-0.483651	0.454333	-0.634293	-0.842134	0.137157	-0.0115754	0.0	0.013513	4.0E-5
132	33554563	6.54943E-10	-0.18155	0.0898189	-0.0342403	-0.126763	0.93411	0.176368	-0.00295183	0.0	0.013513	4.0E-5
133	33554564	6.54943E-10	0.242724	0.0970685	-0.195323	0.248482	1.22089	0.538844	-0.00474865	0.0	0.013513	4.0E-5
134	33554565	6.54943E-10	0.352335	0.206512	0.0682561	0.0854765	0.338828	-0.0269407	-0.0145279	0.0	0.013513	4.0E-5
135	33554566	6.54943E-10	-0.263786	0.370152	-0.342814	0.10486	-0.0160206	-0.494562	-0.010386	0.0	0.013513	4.0E-5
136	33554567	6.54943E-10	0.364458	0.0421733	-0.297922	-0.104063	-0.405519	0.0903486	-0.00410132	0.0	0.013513	4.0E-5
137	33554568	6.54943E-10	-0.142423	0.214591	0.0273345	0.261783	0.406685	0.232828	-0.00866328	0.0	0.013513	4.0E-5
138	33554569	6.54943E-10	0.23159	0.0804627	0.383149	0.116063	1.24144	-0.478256	-0.00203123	0.0	0.013513	4.0E-5
139	33554570	6.54943E-10	-0.122178	0.251612	0.38449	-0.396084	0.969445	-0.59525	-0.0154394	0.0	0.013513	4.0E-5
140	33554571	6.54943E-10	0.0761327	-0.365735	0.322248	0.0774918	-0.0266129	-0.0559819	-0.00840066	0.0	0.013513	4.0E-5
141	33554572	6.54943E-10	0.0760783	-0.36478	0.321584	0.19551	-0.2388	-0.157402	-0.00784099	0.0	0.013513	4.0E-5
142	33554573	6.54943E-10	-0.287631	0.171104	-0.18825	-0.53836	0.298097	-0.719603	-0.0183371	5.29746E-7	0.013513	4.0E-5
143	33554574	6.54943E-10	-0.276623	0.180981	-0.149279	0.0337421	1.04121	-0.711338	-0.0149677	0.0	0.013513	4.0E-5
144	33554575	6.54943E-10	0.180551	0.481351	0.0264727	0.304466	-0.510257	0.782476	-0.00402881	0.0	0.013513	4.0E-5
145	33554576	6.54943E-10	0.39311	0.305984	0.0699122	-0.593282	-0.348364	0.164796	-0.0176987	0.0	0.013513	4.0E-5
146	33554577	6.54943E-10	0.211982	0.278197	-0.24126	0.330224	0.0212203	-0.426225	-0.0061472	0.0	0.013513	4.0E-5
147	33554578	6.54943E-10	0.107172	0.3577	0.459321	0.671074	0.0818022	-0.832844	-0.0222169	0.0	0.013513	4.0E-5
148	33554579	6.54943E-10	0.175976	0.342761	0.424439	-0.265441	-0.167749	0.702952	-0.0244801	0.0	0.013513	4.0E-5
149	33554580	6.54943E-10	0.358826	-0.153614	0.0125624	-0.13701	-0.769954	0.851782	-0.00334126	0.0	0.013513	4.0E-5
150	33554581	6.49828E-10	-0.251624	0.135823	-0.192692	-0.682732	1.55847	-0.831653	-0.0123133	0.0	0.0135346	4.0E-5
151	33554582	6.49828E-10	0.0131973	-0.0629557	0.127315	-0.072202	0.163054	0.1979	-7.7076E-4	0.0	0.0135346	4.0E-5
152	33554583	6.49828E-10	-0.235904	0.460643	0.49707	-0.415244	-0.943829	0.0435132	-0.00650552	0.0	0.0135346	4.0E-5
153	33554584	6.49828E-10	-0.0927636	-0.415705	-0.403587	0.770324	-0.346345	-0.104889	-0.00236192	0.0	0.0135346	4.0E-5
154	33554585	6.49828E-10	0.350185	0.230796	0.308671	-0.270926	0.193591	0.625942	-0.0156992	0.0	0.0135346	4.0E-5
155	33554586	6.49828E-10	-0.331271	-0.476133	-0.269338	-0.295913	-0.116722	-0.084583	-0.0100682	0.0	0.0135346	4.0E-5
156	33554587	6.49828E-10	-0.353289	0.146439	-0.18247	0.740751	0.894856	-0.278794	-0.0131288	0.0	0.0135346	4.0E-5
157	33554588	6.49828E-10	-0.353183	0.143875	-0.211973	1.15732	0.538588	-0.0807104	-0.0149478	0.0	0.0135346	4.0E-5
158	33554589	6.49828E-10	-0.340129	0.200622	-0.241541	0.92695	-0.0297524	0.502615	-0.0159141	0.0	0.0135346	4.0E-5
159	33554590	6.49828E-10	-0.289869	0.44483	0.0514486	0.431195	-0.379232	-0.347057	-0.00834648	0.0	0.0135346	4.0E-5
160	33554591	6.49828E-10	0.497557	-0.423698	-0.129839	-0.323634	-0.326204	-0.477557	-0.00705442	0.0	0.0135346	4.0E-5
161	33554592	6.49828E-10	-0.191841	0.188261	-0.498434	0.168087	0.544874	0.285906	-0.00668078	0.0	0.0135346	4.0E-5
162	33554593	6.49828E-10	-0.19785	0.148663	-0.221179	-0.944578	1.20429	-0.224644	-0.01108	0.0	0.0135346	4.0E-5
163	33554594	6.49828E-10	0.230911	0.402832	0.446376	-0.285049	-1.02586	-0.533674	-0.0176198	0.0	0.0135346	4.0E-5
164	33554595	6.49828E-10	-0.08584	-0.226431	0.44982	0.507551	-0.100879	-0.0135173	0.00428212	0.0	0.0135346	4.0E-5
165	33554596	6.50692E-10	-0.365882	0.117244	-0.240466	0.153659	1.95492	0.0851564	-0.0106811	0.0	0.0135561	4.0E-5
166	33554597	6.50692E-10	-0.444662	0.194273	0.0280919	-0.222128	0.342174	-0.0663219	-0.0130616	0.0	0.0135561	4.0E-5
167	33554598	6.50692E-10	-0.37394	0.185832	0.128863	-0.253805	0.225194	-0.164425	-0.00964097	0.0	0.0135561	4.0E-5
168	33554599	6.50692E-10	-0.357814	-0.0541391	-0.425917	-0.180519	0.479427	-0.1559	-0.00384411	0.0	0.0135561	4.0E-5
169	33554600	6.50692E-10	-0.319218	-0.0237098	-0.492293	-0.237921	-0.242844	1.3489	-0.00168088	0.0	0.0135561	4.0E-5
170	33554601	6.50692E-10	0.136892	-0.263733	-0.0417138	0.140879	0.0221747	1.08234	0.00275318	0.0	0.0135561	4.0E-5
171	33554602	6.50692E-10	-0.421798	-0.488754	0.453032	-0.0680406	-0.472156	1.01712	-0.0100688	0.0	0.0135561	4.0E-5
172	33554603	6.50692E-10	-0.395011	-0.0442714	0.238211	-0.736802	0.167508	-0.440317	0.00373611	0.0	0.0135561	4.0E-5
173	33554604	6.50692E-10	-0.117089	0.456353	-0.350647	-0.242352	-0.622547	0.259817	-0.00637463	0.0	0.0135561	4.0E-5
174	33554605	6.50692E-10	0.442187	-0.359457	-0.268306	0.440383	-1.14525	0.273809	-0.00476056	0.0	0.0135561	4.0E-5
175	33554606	6.50692E-10	-0.349638	0.183327	-0.244592	0.856747	0.355733	1.11781	-0.0156224	0.0	0.0135561	4.0E-5
176	33554607	6.50692E-10	-0.309393	0.158961	-0.242519	0.297439	0.604528	0.763032	-0.0152844	0.0	0.0135561	4.0E-5
177	33554608	6.50692E-10	-0.387268	0.148371	-0.173717	0.577488	0.72061	-0.264841	-0.0109346	0.0	0.0135561	4.0E-5
178	33554609	6.50692E-10	0.205547	0.207517	-0.413021	-0.46282	0.456704	-0.162045	-0.00653849	0.0	0.0135561	4.0E-5
179	33554610	6.50692E-10	-0.0980199	-0.0974865	0.129915	0.597439	0.572493	-0.598536	0.003626	0.0	0.0135561	4.0E-5
180	33554611	6.50692E-10	-0.469	0.354453	-0.0485229	0.0292431	-0.936155	0.236463	-0.0103081	0.0	0.0135561	4.0E-5
181	33554612	6.50692E-10	0.126367	0.343384	0.436482	0.55966	-0.221698	-0.946824	-0.022357	0.0	0.0135561	4.0E-5
182	33554613	6.50692E-10	0.175846	0.343102	0.4253	-0.256677	-0.340689	0.504755	-0.0249769	0.0	0.0135561	4.0E-5
183	33554614	6.50029E-10	-0.45056	-0.495468	-0.351702	0.234469	0.405812	-0.750323	-0.0132719	0.0	0.0135777	4.0E-5
184	33554615	6.50029E-10	-0.43062	-0.306694	-0.451852	0.449983	-0.364276	0.31075	-0.00637272	0.0	0.0135777	4.0E-5
185	33554616	6.50029E-10	-0.407597	-0.066617	-0.454821	0.928721	0.35284	0.430567	5.20135E-4	0.0	0.0135777	4.0E-5
186	33554617	6.50029E-10	-0.222976	-0.422373	-0.478469	-0.898788	0.0600635	0.942071	-0.00639709	0.0	0.0135777	4.0E-5
187	33554618	6.50029E-10	0.108125	-0.229284	-0.0564209	0.729307	-0.749443	0.939352	0.00604348	0.0	0.0135777	4.0E-5
188	33554619	6.50029E-10	0.361411	-0.0866635	0.223651	-0.450912	0.138122	-1.01481	-0.00879942	0.0	0.0135777	4.0E-5
189	33554620	6.50029E-10	-0.149676	0.23347	0.4153	0.626924	0.431837	0.0684481	-0.0124691	0.0	0.0135777	4.0E-5
190	33554621	6.50029E-10	-0.361684	0.145392	-0.241238	0.418239	1.30517	0.480269	-0.0159704	0.0	0.0135777	4.0E-5
191	33554622	6.50029E-10	-0.360244	0.149351	-0.238309	0.48958	0.473025	0.350085	-0.0138532	0.0	0.0135777	4.0E-5
192	33554623	6.50029E-10	-0.360724	0.149046	-0.238407	0.409333	0.405328	0.270363	-0.0138515	0.0	0.0135777	4.0E-5
193	33554624	6.50029E-10	-0.246815	0.493518	-0.477573	-0.0963192	-0.337568	0.36001	-0.00601138	0.0	0.0135777	4.0E-5
194	33554625	6.50029E-10	-0.109008	-0.325054	0.363697	0.768825	-0.854197	0.343718	2.45473E-5	0.0	0.0135777	4.0E-5
